,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address
0,51551278,2007-01-01 00:00:00,6014 W 64TH ST,90ad622c3274c9bdc9d8c812b79a01d0aaf7479f2bd7431f8935baa4048d0c86,IL,PAS,60638,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,8,CPD,CHEV,50,100,0.0,100.0,Paid,2007-05-21 00:00:00,SEIZ,,5048648030,15227,"6000 w 64th st, chicago, il"
1,51491256,2007-01-01 00:00:00,530 N MICHIGAN,bce4dc26b2c96965380cb2b838cdbb95632b7b5716061255c7ed9aa52b17163c,IL,PAS,606343801,0964150B,PARKING/STANDING PROHIBITED ANYTIME,18,CPD,CHRY,50,100,50.0,0.0,Define,2007-01-22 00:00:00,,,0,18320,"500 n michigan, chicago, il"
2,50433524,2007-01-01 00:01:00,4001 N LONG,44641e828f4d894c883c07c566063c2d99d08f2c03b3d41682d6d8201a0939bd,IL,PAS,60148,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,16,CPD,BUIC,50,100,0.0,50.0,Paid,2007-01-31 00:00:00,VIOL,,5079875240,3207,"4000 n long, chicago, il"
3,51430906,2007-01-01 00:01:00,303 E WACKER,eee50ca0d9be2debd0e7d45bad05b8674a6cf5b892230f54cf1923e36990ada9,IL,PAS,60601,0964110A,DOUBLE PARKING OR STANDING,152,CPD,NISS,100,200,0.0,100.0,Paid,2007-03-08 00:00:00,DETR,Liable,5023379950,19410,"300 e wacker, chicago, il"
4,51507779,2007-01-01 00:01:00,7 E 41ST ST,244116ca3eed4235b1f61f6d753d8c688be2a48c9fdd976fa4c729c6f90f3d76,IL,PAS,605053013,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,2,CPD,INFI,25,50,0.0,50.0,Paid,2007-08-29 00:00:00,SEIZ,,5079891400,66396,"7 e 41st st, chicago, il"
5,51260468,2007-01-01 00:03:00,1039 W LELAND,b167d28412271c62a8e30cbb5396ffb97f12c08382f9a6f46be4e1c8bb02f444,IL,TMP,60632,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,BUIC,50,100,50.0,0.0,Define,2007-01-04 00:00:00,,,0,3307,"1000 w leland, chicago, il"
6,51501733,2007-01-01 00:04:00,2405 W 14TH ST,b27d76408581e0e3940aa2722fa87bd23cd5428be4c46c7c5d1682e10133ee58,IL,PAS,60651,0964110A,DOUBLE PARKING OR STANDING,10,CPD,DODG,100,200,244.0,0.0,Bankruptcy,2010-02-19 00:00:00,SEIZ,,5038039180,08432,"2400 w 14th st, chicago, il"
7,51260469,2007-01-01 00:05:00,1039 W LELAND,59cc36a038a7290643aea2e7a48001f9fef5f0b8518ede7ae1465886c6a94796,IL,PAS,60643,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,LEXU,50,100,0.0,50.0,Paid,2007-02-24 00:00:00,DETR,Liable,5052314130,3307,"1000 w leland, chicago, il"
8,51417189,2007-01-01 00:05:00,6900 N GREENVIEW,cf5b8e9e5b9ec85ce46bee319e9c1d45ae6f6feb8b29939c2130e2752f57ee9a,IL,TMP,60651,0964125,NO CITY STICKER OR IMPROPER DISPLAY,24,CPD,CHEV,120,240,0.0,240.0,Paid,2007-10-01 00:00:00,SEIZ,,5079706450,18572,"6900 n greenview, chicago, il"
9,51579563,2007-01-01 00:05:00,6900 N GREENVIEW,cf5b8e9e5b9ec85ce46bee319e9c1d45ae6f6feb8b29939c2130e2752f57ee9a,IL,TMP,60651,0964150B,PARKING/STANDING PROHIBITED ANYTIME,24,CPD,CHEV,50,100,0.0,100.0,Paid,2008-03-28 00:00:00,SEIZ,,5079706450,13408,"6900 n greenview, chicago, il"
10,51507781,2007-01-01 00:05:00,9 E 41ST ST,81f2b5e908e108b3e1524676d7a736f22e56c0b2b4128db15b9a3f04bcdab43c,IL,PAS,606532213,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,2,CPD,PONT,25,50,0.0,25.0,Paid,2007-02-01 00:00:00,VIOL,,5019225780,6639,"9 e 41st st, chicago, il"
11,51221093,2007-01-01 00:05:00,4956 N OAKLEY,d5bd4564db89cb1fdb1cc4465c554dbe6910fb5513aa195bd65ab4d028b415ad,IL,PAS,601481629,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,20,CPD,SATR,50,100,0.0,122.0,Paid,2010-02-02 00:00:00,FINL,,5079913690,6371,"4900 n oakley, chicago, il"
